Issuer Name,Risk Country,Economic Sector,Year,Number of bonds,Avg. Emission Intensity
ABB Finance B.V.,Netherlands,Other sectors,2017,84,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2017,115,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2017,112,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2017,28,150.84
Air Liquide Finance,France,Other sectors,2017,28,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2017,56,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2017,84,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2017,134,639.8822767911323
Alstom S.A.,France,Other sectors,2017,11,14.151920145498455
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2017,84,3118.1049069373944
Aroundtown SA,Other (euro area),Other sectors,2017,36,150.84
BASF Finance Europe N.V.,Netherlands,Other sectors,2017,56,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2017,560,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2017,140,70.78
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2017,28,5748.9733976075695
Brenntag Finance B.V.,Netherlands,Other sectors,2017,14,150.84
CARMILA,France,Real estate,2017,56,7754.552820541477
Citycon Treasury B.V.,Netherlands,Other sectors,2017,84,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2017,56,6072.349313705988
Coentreprise de Transport d'Electricit�,France,Utilities,2017,81,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2017,96,1297.435971925258
Compagnie de Saint-Gobain S.A.,France,Other sectors,2017,84,280.5911319126519
Continental AG,Germany,Other sectors,2017,84,61.250313978198804
Covestro AG,Germany,Other sectors,2017,56,10601.77
Covivio S.A.,France,Real estate,2017,56,86.6
DAA Finance PLC,Other (euro area),Other sectors,2017,56,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2017,79,780.1328446420465
Deutsche Börse AG,Germany,Other sectors,2017,84,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2017,29,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2017,420,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2017,71,10696.432052578431
E.ON SE,Germany,Utilities,2017,84,186.71994764068228
EDP Finance B.V.,Netherlands,Utilities,2017,299,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2017,392,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2017,112,2909.17
ESB Finance DAC,Other (euro area),Other sectors,2017,84,98153.41680206443
EWE AG,Germany,Utilities,2017,84,2909.17
EXOR N.V.,Netherlands,Other sectors,2017,134,10601.77
Edenred S.A.,France,Other sectors,2017,56,0.7847738253326929
EnBW International Finance BV,Netherlands,Other sectors,2017,84,80453.16514832982
Engie S.A.,France,Utilities,2017,400,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2017,56,38.075087600272916
Eurogrid GmbH,Germany,Other sectors,2017,112,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2017,84,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2017,112,150.84
GECINA,France,Other sectors,2017,235,29.913444714553364
HeidelbergCement AG,Germany,Other sectors,2017,84,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Germany,Other sectors,2017,56,3329.7122561493084
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2017,196,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2017,67,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2017,74,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2017,66,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2017,56,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2017,280,76474.52882082162
JCDECAUX SA,France,Other sectors,2017,56,43.34562385228242
John Deere Cash Management SA,Other (euro area),Other sectors,2017,32,81940.02943340692
KLEPIERRE,France,Other sectors,2017,10,74.27697651589519
Kering S.A.,France,Other sectors,2017,188,15.312208737605877
Klepierre,France,Other sectors,2017,133,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2017,140,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2017,34,35.63890686445318
LA POSTE,France,Other sectors,2017,4,10601.77
LANXESS AG,Germany,Other sectors,2017,112,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2017,244,185.40999999999997
La Poste,France,Other sectors,2017,135,10601.77
Legrand S.A.,France,Other sectors,2017,92,28.256778074180474
Linde AG,Netherlands,Other sectors,2017,224,34449.34869200129
MERCIALYS,France,Real estate,2017,2,42.468239564428316
Mercialys,France,Real estate,2017,35,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2017,99,150.84
NOVOMATIC AG,Other (euro area),Other sectors,2017,102,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2017,140,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2017,195,150.84000000000003
Paccar Financial Europe B.V.,Netherlands,Other sectors,2017,56,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2017,4,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2017,84,2420.27
RENAULT SA,France,Other sectors,2017,102,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2017,262,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2017,56,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2017,37,356.39
Robert Bosch GmbH,Germany,Other sectors,2017,28,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2017,84,10254.652992413598
SAP SE,Germany,Other sectors,2017,112,11.818576899745585
SNCF MOBILITES,France,Infrastructure and transportation,2017,140,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2017,133,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2017,56,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2017,56,98.49318131008272
SODEXO SA,France,Other sectors,2017,90,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2017,56,150.84
SUEZ,France,Other sectors,2017,266,434.7950333825688
Schneider Electric SE,France,Other sectors,2017,171,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2017,112,1043.3365273723857
Stedin Holding N.V.,Netherlands,Other sectors,2017,20,150.84
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2017,33,150.84
THALES,France,Other sectors,2017,56,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2017,28,53777.01830250999
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2017,14,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2017,28,150.84
TenneT Holding BV,Netherlands,Utilities,2017,306,2909.17
Total Capital International S.A.,France,Other sectors,2017,238,74495.64181587854
Unibail-Rodamco SE,France,Other sectors,2017,431,150.84
Uniper SE,Germany,Utilities,2017,28,230.71292794029858
Valeo S.A.,France,Other sectors,2017,100,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2017,258,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2017,84,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2017,280,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2017,345,122.45857214400978
Wendel S.A.,France,Other sectors,2017,84,150.84
Würth Finance International BV,Netherlands,Other sectors,2017,84,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2017,56,150.84
alstria office REIT-AG,Germany,Other sectors,2017,56,0.09766425351727907
ABB Finance B.V.,Netherlands,Other sectors,2018,156,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2018,271,19.015738783180645
AROUNDTOWN SA,Other (euro area),Other sectors,2018,2,150.84
ASML Holding N.V.,Netherlands,Other sectors,2018,208,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2018,52,150.84
Air Liquide Finance,France,Other sectors,2018,52,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2018,92,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2018,156,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2018,374,639.8822767911323
Alstom S.A.,France,Other sectors,2018,52,14.151920145498455
Altareit SCA,France,Real estate,2018,26,0.5239144633283369
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2018,156,3118.1049069373944
Aroundtown SA,Other (euro area),Other sectors,2018,185,150.84
BASF Finance Europe N.V.,Netherlands,Other sectors,2018,104,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2018,1140,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2018,221,70.78
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2018,160,5748.9733976075695
Borealis AG,Other (euro area),Other sectors,2018,3,10601.77
Brenntag Finance B.V.,Netherlands,Other sectors,2018,52,150.84
CARMILA,France,Real estate,2018,147,7754.552820541477
Citycon Treasury B.V.,Netherlands,Other sectors,2018,173,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2018,104,6072.349313705988
Coentreprise de Transport d'Electricit�,France,Utilities,2018,156,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2018,208,1297.435971925258
"Compagnie Generale des Etablissements Michelin, Clermont-Ferrand",France,Other sectors,2018,51,139.54105763258897
Compagnie de Saint-Gobain S.A.,France,Other sectors,2018,260,280.5911319126519
Continental AG,Germany,Other sectors,2018,132,61.250313978198804
Covestro AG,Germany,Other sectors,2018,104,10601.77
Covivio S.A.,France,Real estate,2018,163,86.6
DAA Finance PLC,Other (euro area),Other sectors,2018,79,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2018,428,780.1328446420465
Deutsche Börse AG,Germany,Other sectors,2018,156,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2018,52,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2018,895,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2018,110,10696.432052578431
E.ON SE,Germany,Utilities,2018,156,186.71994764068228
EDP Finance B.V.,Netherlands,Utilities,2018,611,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2018,692,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2018,208,2909.17
ESB Finance DAC,Other (euro area),Other sectors,2018,163,98153.41680206443
EWE AG,Germany,Utilities,2018,156,2909.17
EXOR N.V.,Netherlands,Other sectors,2018,321,10601.77
Edenred S.A.,France,Other sectors,2018,108,0.7847738253326929
EnBW International Finance BV,Netherlands,Other sectors,2018,150,80453.16514832982
Engie S.A.,France,Utilities,2018,832,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2018,155,38.075087600272916
Eurogrid GmbH,Germany,Other sectors,2018,208,150.84
Euronext N.V.,Netherlands,Other sectors,2018,30,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2018,156,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2018,208,150.84
GECINA,France,Other sectors,2018,510,29.913444714553364
HeidelbergCement AG,Germany,Other sectors,2018,156,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Germany,Other sectors,2018,52,3329.7122561493084
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2018,421,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2018,104,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2018,200,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2018,208,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2018,106,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2018,492,76474.52882082162
JCDECAUX SA,France,Other sectors,2018,67,43.34562385228242
John Deere Cash Management SA,Other (euro area),Other sectors,2018,104,81940.02943340692
Kering S.A.,France,Other sectors,2018,352,15.312208737605877
Klepierre,France,Other sectors,2018,393,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2018,260,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2018,174,35.63890686445318
LANXESS AG,Germany,Other sectors,2018,209,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2018,424,185.40999999999997
La Poste,France,Other sectors,2018,241,10601.77
Legrand S.A.,France,Other sectors,2018,251,28.256778074180474
Linde AG,Netherlands,Other sectors,2018,413,34449.34869200129
Mercialys,France,Real estate,2018,148,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2018,208,150.84
Metsa Board Oyj,Other (euro area),Other sectors,2018,29,264.67345916151663
NOVOMATIC AG,Other (euro area),Other sectors,2018,156,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2018,270,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2018,468,150.84000000000003
Nokia OYJ,Other (euro area),Other sectors,2018,15,25.7738888646724
Paccar Financial Europe B.V.,Netherlands,Other sectors,2018,134,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2018,99,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2018,156,2420.27
RENAULT SA,France,Other sectors,2018,207,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2018,542,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2018,104,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2018,104,356.39
Robert Bosch GmbH,Germany,Other sectors,2018,52,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2018,129,10254.652992413598
SAP SE,Germany,Other sectors,2018,349,11.818576899745585
SNCF MOBILITES,France,Infrastructure and transportation,2018,260,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2018,260,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2018,155,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2018,135,98.49318131008272
SODEXO SA,France,Other sectors,2018,188,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2018,104,150.84
SUEZ,France,Other sectors,2018,535,434.7950333825688
Schneider Electric SE,France,Other sectors,2018,369,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2018,230,1043.3365273723857
Stedin Holding N.V.,Netherlands,Other sectors,2018,118,150.84
Stora Enso Oyj,Other (euro area),Other sectors,2018,28,327.76803186751124
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2018,104,150.84
THALES,France,Other sectors,2018,148,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2018,52,53777.01830250999
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2018,52,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2018,52,150.84
TenneT Holding BV,Netherlands,Utilities,2018,586,2909.17
Total Capital International S.A.,France,Other sectors,2018,554,74495.64181587854
Unibail-Rodamco SE,France,Other sectors,2018,1004,150.84
Uniper SE,Germany,Utilities,2018,49,230.71292794029858
Valeo S.A.,France,Other sectors,2018,236,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2018,524,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2018,170,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2018,516,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2018,1018,122.45857214400978
Wendel S.A.,France,Other sectors,2018,119,150.84
Würth Finance International BV,Netherlands,Other sectors,2018,156,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2018,126,150.84
alstria office REIT-AG,Germany,Other sectors,2018,104,0.09766425351727907
ABB Finance B.V.,Netherlands,Other sectors,2019,152,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2019,320,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2019,208,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2019,52,150.84
Air Liquide Finance,France,Other sectors,2019,61,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2019,52,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2019,181,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2019,355,639.8822767911323
Alstom S.A.,France,Other sectors,2019,52,14.151920145498455
Altareit SCA,France,Real estate,2019,52,0.5239144633283369
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2019,124,3118.1049069373944
Aroundtown SA,Other (euro area),Other sectors,2019,228,150.84
BASF Finance Europe N.V.,Netherlands,Other sectors,2019,104,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2019,1206,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2019,208,70.78
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2019,260,5748.9733976075695
Borealis AG,Other (euro area),Other sectors,2019,52,10601.77
Brenntag Finance B.V.,Netherlands,Other sectors,2019,52,150.84
CARMILA,France,Real estate,2019,156,7754.552820541477
Ceetrus S.A,France,Other sectors,2019,5,150.84000000000003
Citycon Treasury B.V.,Netherlands,Other sectors,2019,208,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2019,140,6072.349313705988
