Issuer Name,Risk Country,Economic Sector,Year,Number of bonds,Avg. Emission Intensity
Coentreprise de Transport d'Electricit�,France,Utilities,2019,156,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2019,208,1297.435971925258
"Compagnie Generale des Etablissements Michelin, Clermont-Ferrand",France,Other sectors,2019,156,139.54105763258897
Compagnie de Saint-Gobain S.A.,France,Other sectors,2019,364,280.5911319126519
Continental AG,Germany,Other sectors,2019,104,61.250313978198804
Covestro AG,Germany,Other sectors,2019,104,10601.77
Covivio S.A.,France,Real estate,2019,208,86.6
DAA Finance PLC,Other (euro area),Other sectors,2019,52,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2019,585,780.1328446420465
Dassault Systemes,France,Other sectors,2019,28,10601.77
Deutsche Börse AG,Germany,Other sectors,2019,156,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2019,52,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2019,979,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2019,104,10696.432052578431
E.ON SE,Germany,Utilities,2019,167,186.71994764068228
EDP Finance B.V.,Netherlands,Utilities,2019,639,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2019,728,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2019,233,2909.17
ESB Finance DAC,Other (euro area),Other sectors,2019,217,98153.41680206443
EWE AG,Germany,Utilities,2019,145,2909.17
EXOR N.V.,Netherlands,Other sectors,2019,374,10601.77
Edenred S.A.,France,Other sectors,2019,156,0.7847738253326929
EnBW International Finance BV,Netherlands,Other sectors,2019,123,80453.16514832982
Engie S.A.,France,Utilities,2019,930,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2019,176,38.075087600272916
Eurogrid GmbH,Germany,Other sectors,2019,208,150.84
Euronext N.V.,Netherlands,Other sectors,2019,78,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2019,156,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2019,208,150.84
GECINA,France,Other sectors,2019,482,29.913444714553364
HeidelbergCement AG,Germany,Other sectors,2019,156,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Germany,Other sectors,2019,52,3329.7122561493084
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2019,417,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2019,119,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2019,208,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2019,208,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2019,104,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2019,468,76474.52882082162
JCDECAUX SA,France,Other sectors,2019,104,43.34562385228242
John Deere Cash Management SA,Other (euro area),Other sectors,2019,104,81940.02943340692
Kering S.A.,France,Other sectors,2019,276,15.312208737605877
Klepierre,France,Other sectors,2019,401,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2019,240,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2019,221,35.63890686445318
LANXESS AG,Germany,Other sectors,2019,208,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2019,319,185.40999999999997
La Poste,France,Other sectors,2019,235,10601.77
Legrand S.A.,France,Other sectors,2019,260,28.256778074180474
Linde AG,Netherlands,Other sectors,2019,310,34449.34869200129
Mercialys,France,Real estate,2019,156,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2019,208,150.84
Metsa Board Oyj,Other (euro area),Other sectors,2019,52,264.67345916151663
NOVOMATIC AG,Other (euro area),Other sectors,2019,108,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2019,311,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2019,444,150.84000000000003
Nokia OYJ,Other (euro area),Other sectors,2019,107,25.7738888646724
Paccar Financial Europe B.V.,Netherlands,Other sectors,2019,165,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2019,104,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2019,156,2420.27
RENAULT SA,France,Other sectors,2019,208,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2019,618,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2019,104,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2019,104,356.39
Robert Bosch GmbH,Germany,Other sectors,2019,52,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2019,104,10254.652992413598
SAP SE,Germany,Other sectors,2019,617,11.818576899745585
SNCF MOBILITES,France,Infrastructure and transportation,2019,260,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2019,250,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2019,133,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2019,156,98.49318131008272
SODEXO SA,France,Other sectors,2019,208,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2019,104,150.84
SUEZ,France,Other sectors,2019,544,434.7950333825688
Schaeffler AG,Germany,Other sectors,2019,95,77.90212500568116
Schneider Electric SE,France,Other sectors,2019,414,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2019,401,1043.3365273723857
Stedin Holding N.V.,Netherlands,Other sectors,2019,161,150.84
Stora Enso Oyj,Other (euro area),Other sectors,2019,104,327.76803186751124
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2019,104,150.84
THALES,France,Other sectors,2019,156,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2019,52,53777.01830250999
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2019,52,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2019,52,150.84
TenneT Holding BV,Netherlands,Utilities,2019,662,2909.17
Total Capital International S.A.,France,Other sectors,2019,648,74495.64181587854
Unibail-Rodamco SE,France,Other sectors,2019,1022,150.84
Valeo S.A.,France,Other sectors,2019,260,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2019,572,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2019,212,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2019,588,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2019,1063,122.45857214400978
Wendel S.A.,France,Other sectors,2019,72,150.84
Würth Finance International BV,Netherlands,Other sectors,2019,156,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2019,104,150.84
alstria office REIT-AG,Germany,Other sectors,2019,104,0.09766425351727907
ABB Finance B.V.,Netherlands,Other sectors,2020,143,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2020,469,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2020,280,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2020,76,150.84
Air Liquide Finance,France,Other sectors,2020,74,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2020,51,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2020,231,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2020,452,639.8822767911323
Alstom S.A.,France,Other sectors,2020,50,14.151920145498455
Altareit SCA,France,Real estate,2020,51,0.5239144633283369
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2020,91,3118.1049069373944
Apetra N.V.,Belgium,Other sectors,2020,101,42.7
Aroundtown SA,Other (euro area),Other sectors,2020,307,150.84
Auchan Holding SA,France,Other sectors,2020,56,56.32542784385384
BASF Finance Europe N.V.,Netherlands,Other sectors,2020,96,737798.7209693706
BEFIMMO SA,Belgium,Other sectors,2020,51,1.7947414548641543
BMW Finance N.V.,Netherlands,Other sectors,2020,1419,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2020,204,70.78
Barry Callebaut Services N.V,Belgium,Other sectors,2020,20,5766.666666666666
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2020,255,5748.9733976075695
Borealis AG,Other (euro area),Other sectors,2020,51,10601.77
Brenntag Finance B.V.,Netherlands,Other sectors,2020,51,150.84
CARMILA,France,Real estate,2020,156,7754.552820541477
CPI Property Group SA,Other (euro area),Other sectors,2020,32,260.91563202994865
CRH Finland Services OYJ,Other (euro area),Other sectors,2020,33,13140096.618357489
Ceetrus S.A,France,Other sectors,2020,51,150.84000000000003
Citycon Treasury B.V.,Netherlands,Other sectors,2020,209,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2020,226,6072.349313705988
Coentreprise de Transport d'Electricit�,France,Utilities,2020,153,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2020,235,1297.435971925258
"Compagnie Generale des Etablissements Michelin, Clermont-Ferrand",France,Other sectors,2020,174,139.54105763258897
Compagnie de Saint-Gobain S.A.,France,Other sectors,2020,416,280.5911319126519
"Conti-Gummi Finance B.V., Amsterdam",Netherlands,Other sectors,2020,56,580125.5238095238
Continental AG,Germany,Other sectors,2020,157,61.250313978198804
Covestro AG,Germany,Other sectors,2020,158,10601.77
Covivio S.A.,France,Real estate,2020,230,86.6
DAA Finance PLC,Other (euro area),Other sectors,2020,56,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2020,626,780.1328446420465
Dassault Systemes,France,Other sectors,2020,204,10601.77
Deutsche Börse AG,Germany,Other sectors,2020,153,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2020,51,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2020,913,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2020,110,10696.432052578431
EDP Finance B.V.,Netherlands,Utilities,2020,596,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2020,734,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2020,274,2909.17
ENI Finance International S.A.,Belgium,Other sectors,2020,31,73848.34612044007
ESB Finance DAC,Other (euro area),Other sectors,2020,255,98153.41680206443
EXOR N.V.,Netherlands,Other sectors,2020,442,10601.77
Edenred S.A.,France,Other sectors,2020,180,0.7847738253326929
EnBW International Finance BV,Netherlands,Other sectors,2020,240,80453.16514832982
Engie S.A.,France,Utilities,2020,1191,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2020,444,38.075087600272916
Eurofins Scientific SE,Other (euro area),Other sectors,2020,33,2420.27
Eurogrid GmbH,Germany,Other sectors,2020,215,150.84
Euronext N.V.,Netherlands,Other sectors,2020,108,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2020,191,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2020,204,150.84
GECINA,France,Other sectors,2020,481,29.913444714553364
Groupe Bruxelles Lambert SA,Belgium,Other sectors,2020,8,10601.77
HeidelbergCement AG,Germany,Other sectors,2020,153,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Germany,Other sectors,2020,13,3329.7122561493084
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2020,413,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2020,105,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2020,241,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2020,251,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2020,102,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2020,453,76474.52882082162
JCDECAUX SA,France,Other sectors,2020,176,43.34562385228242
John Deere Cash Management SA,Other (euro area),Other sectors,2020,243,81940.02943340692
Kering S.A.,France,Other sectors,2020,296,15.312208737605877
Klepierre,France,Other sectors,2020,441,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2020,256,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2020,280,35.63890686445318
LANXESS AG,Germany,Other sectors,2020,204,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2020,532,185.40999999999997
La Poste,France,Other sectors,2020,204,10601.77
Legrand S.A.,France,Other sectors,2020,286,28.256778074180474
Linde AG,Netherlands,Other sectors,2020,303,34449.34869200129
MTU Aero Engines AG,Germany,Other sectors,2020,25,13.19211361768032
Mercialys,France,Real estate,2020,177,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2020,259,150.84
Metsa Board Oyj,Other (euro area),Other sectors,2020,51,264.67345916151663
NOVOMATIC AG,Other (euro area),Other sectors,2020,102,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2020,306,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2020,556,150.84000000000003
Nokia OYJ,Other (euro area),Other sectors,2020,217,25.7738888646724
PROSUS N.V,Netherlands,Other sectors,2020,44,42.7
Paccar Financial Europe B.V.,Netherlands,Other sectors,2020,163,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2020,102,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2020,153,2420.27
RENAULT SA,France,Other sectors,2020,298,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2020,709,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2020,132,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2020,102,356.39
Robert Bosch GmbH,Germany,Other sectors,2020,51,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2020,102,10254.652992413598
SAP SE,Germany,Other sectors,2020,652,11.818576899745585
SIG Combibloc,Other (euro area),Other sectors,2020,54,150.84
SNCF MOBILITES,France,Infrastructure and transportation,2020,268,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2020,204,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2020,102,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2020,182,98.49318131008272
SODEXO SA,France,Other sectors,2020,318,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2020,80,150.84
SUEZ,France,Other sectors,2020,637,434.7950333825688
Schaeffler AG,Germany,Other sectors,2020,173,77.90212500568116
Schneider Electric SE,France,Other sectors,2020,540,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2020,936,1043.3365273723857
Signify NV,Netherlands,Other sectors,2020,64,53.68631592055922
Stedin Holding N.V.,Netherlands,Other sectors,2020,204,150.84
"Stellantis N.V, Amsterdam",Netherlands,Other sectors,2020,145,8.697953969317572
Stora Enso Oyj,Other (euro area),Other sectors,2020,105,327.76803186751124
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2020,102,150.84
THALES,France,Other sectors,2020,226,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2020,51,53777.01830250999
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2020,51,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2020,51,150.84
Teleperformance SE,France,Other sectors,2020,4,185.41
TenneT Holding BV,Netherlands,Utilities,2020,723,2909.17
Total Capital International S.A.,France,Other sectors,2020,810,74495.64181587854
UPM-Kymmene OYJ,Other (euro area),Other sectors,2020,5,595.1396778942435
Unibail-Rodamco SE,France,Other sectors,2020,1257,150.84
Valeo S.A.,France,Other sectors,2020,255,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2020,703,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2020,275,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2020,538,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2020,1259,122.45857214400978
Wendel S.A.,France,Other sectors,2020,134,150.84
Würth Finance International BV,Netherlands,Other sectors,2020,153,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2020,102,150.84
adidas AG,Germany,Other sectors,2020,41,0.5012624371857725
alstria office REIT-AG,Germany,Other sectors,2020,128,0.09766425351727907
ABB Finance B.V.,Netherlands,Other sectors,2021,151,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2021,561,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2021,306,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2021,51,150.84
Air Liquide Finance,France,Other sectors,2021,51,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2021,51,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2021,255,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2021,453,639.8822767911323
Alstom S.A.,France,Other sectors,2021,145,14.151920145498455
Altareit SCA,France,Real estate,2021,51,0.5239144633283369
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2021,32,3118.1049069373944
"Argan SA, Paris",France,Other sectors,2021,6,185.41
Aroundtown SA,Other (euro area),Other sectors,2021,355,150.84
Auchan Holding SA,France,Other sectors,2021,102,56.32542784385384
BASF Finance Europe N.V.,Netherlands,Other sectors,2021,51,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2021,1372,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2021,165,70.78
Bayer AG,Germany,Chemicals,2021,407,40.695390703555056
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2021,255,5748.9733976075695
Borealis AG,Other (euro area),Other sectors,2021,51,10601.77
Brenntag Finance B.V.,Netherlands,Other sectors,2021,63,150.84
CARMILA,France,Real estate,2021,243,7754.552820541477
